min_score,act_dist,precision,recall,f1,f0.5

0.0,1,0.9844875346260388,0.8849601593625498,0.932074482035143,0.962830515821413
0.0,2,0.9833978970669618,0.8849601593625498,0.9315858453473133,0.9619965352966651
0.0,3,0.9742183214481623,0.8844621513944223,0.927173061863743,0.9548387096774194
0.0,4,0.9548144163528779,0.8839641434262948,0.9180243082492888,0.9397501058873357

0.1,1,0.9938340807174888,0.8829681274900398,0.935126582278481,0.969488188976378
0.1,2,0.9938340807174888,0.8829681274900398,0.935126582278481,0.969488188976378
0.1,3,0.9916154276131918,0.8834661354581673,0.9344219120358178,0.9679179397642951
0.1,4,0.9833610648918469,0.8829681274900398,0.9304644450275519,0.9614967462039046

0.2,1,0.9949409780775716,0.8814741035856574,0.9347768682334302,0.9699693117053925
0.2,2,0.9949494949494949,0.8829681274900398,0.9356200527704486,0.9703371278458844
0.2,3,0.9943946188340808,0.8834661354581673,0.9356540084388186,0.9700349956255468
0.2,4,0.9910564561207379,0.8829681274900398,0.9338951804055834,0.9673723264949803

0.30000000000000004,1,0.9954827780914738,0.8779880478087649,0.9330510717120932,0.9695336559612846
0.30000000000000004,2,0.9954878736604625,0.8789840637450199,0.9336154456492992,0.9697802197802197
0.30000000000000004,3,0.9954929577464788,0.8799800796812749,0.9341792228390166,0.9700263504611331
0.30000000000000004,4,0.9932659932659933,0.8814741035856574,0.9340369393139841,0.9686952714535901

0.4,1,0.9954622802041974,0.874003984063745,0.9307875894988068,0.9685430463576157
0.4,2,0.995475113122172,0.8764940239043825,0.9322033898305084,0.9691629955947136
0.4,3,0.9954802259887006,0.8774900398406374,0.9327686606670196,0.9694102112676055
0.4,4,0.9943661971830986,0.8789840637450199,0.9331218609569125,0.9689284145805885

0.5,1,0.9959977129788451,0.8675298804780877,0.9273356401384083,0.9673478454020434
0.5,2,0.9954493742889647,0.8715139442231076,0.929368029739777,0.967920353982301
0.5,3,0.9954571266325951,0.87300796812749,0.9302202175643407,0.9682942996022977
0.5,4,0.9954674220963173,0.875,0.9313543599257885,0.9687913542126159

0.6,1,0.9728531855955679,0.8745019920318725,0.9210595331759769,0.9514521022973558
0.6,2,0.9725274725274725,0.8814741035856574,0.9247648902821316,0.952842377260982
0.6,3,0.9726477024070022,0.8854581673306773,0.9270072992700731,0.9538626609442061
0.6,4,0.9727223131478451,0.8879482071713147,0.9284040614423328,0.9544967880085652

0.7,1,0.9964264443120905,0.8331673306772909,0.9075128831027935,0.9588491517652452
0.7,2,0.9958920187793427,0.8451195219123506,0.9143318965517241,0.9615820489573889
0.7,3,0.9959159859976663,0.8500996015936255,0.9172487909725954,0.96288357400722
0.7,4,0.9959325973271353,0.853585657370518,0.9192813086618395,0.9637876743139899

0.7999999999999999,1,0.9962756052141527,0.7993027888446215,0.8869853550704614,0.9494794131566493
0.7999999999999999,2,0.9957627118644068,0.8192231075697212,0.8989071038251367,0.954619312906221
0.7999999999999999,3,0.9957805907172996,0.8227091633466136,0.9010089991818927,0.9555761221656641
0.7999999999999999,4,0.9958033573141487,0.827191235059761,0.9036996735582156,0.9567972350230416

0.8999999999999999,1,0.9965800273597811,0.725597609561753,0.8397694524495678,0.9273167006109979
0.8999999999999999,2,0.9960681520314548,0.7569721115537849,0.8602150537634409,0.9368836291913214
0.8999999999999999,3,0.9961190168175937,0.7669322709163346,0.8666291502532357,0.93994140625
0.8999999999999999,4,0.9961365099806826,0.7704183266932271,0.8688570626228588,0.9409975669099756

0.9999999999999999,1,0.9981851179673321,0.547808764940239,0.7073954983922829,0.8572319201995011
0.9999999999999999,2,0.9974619289340102,0.5871513944223108,0.7391849529780564,0.8751484560570073
0.9999999999999999,3,0.9975369458128078,0.6050796812749004,0.7532548047117174,0.8829941860465117
0.9999999999999999,4,0.9975786924939467,0.6155378486055777,0.7613181398213735,0.8874210224009189

